what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366506582564
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366506582584
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366506586455
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366506590745
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366506593066
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366506593136
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1366506647103
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366506671035
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366506686047
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1366506695508
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366506709739
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366506737335
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366506737435
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366506739505
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366506752546
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366506763108
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366506798792
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366506800582
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366506801812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366506803222
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366506803272
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366506810203
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366506811213
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366506813343
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366506814163
