what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366125241001
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366125257216
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366125266449
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366125268359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366125274805
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366125285009
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366125287051
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366125329901
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366125331477
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1366125335408
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1366125337733
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366125361488
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366125391830
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366125423997
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366125424153
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366125446192
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366125446348
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366125501794
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366125536551
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1366125579959
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1366125582050
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1366125582440
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1366125582970
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1366125583391
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1366125584047
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1366125584546
