what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120104149
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120109625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120118486
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120121746
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1366120130544
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1366120130747
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1366120130934
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1366120132198
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1366120133914
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1366120135146
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1366120138906
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1366120139702
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1366120141948
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1366120143274
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1366120144647
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120145442
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120146924
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120168562
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120181478
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120198311
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120205456
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120225814
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120252724
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120254097
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120255719
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120266374
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120269229
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120279852
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120281163
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120328415
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120342673
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120344171
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120360520
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120362657
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120390394
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120459565
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120531226
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1366120535719
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366120542458
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120597901
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120612783
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366120806083
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120923193
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366120936718
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366120939214
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366120949167
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366120958090
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366120967715
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366121008806
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1366121019398
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366121022222
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366121054280
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366121058727
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366121058883
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366121287231
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1366121331033
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1366121331252
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1366121331423
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1366121331595
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1366121331766
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1366121331907
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1366121332094
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1366121332297
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1366121332656
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1366121334028
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1366121336602
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366121337835
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366121344352
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1366121356520
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1366121364897
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1366121366816
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1366121368064
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1366121369764
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1366121407557
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1366121407791
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1366121408010
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1366121408228
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1366121408431
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1366121408743
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1366121408992
